"PROJECT NAME","APPLICANT NAME","ADDRESS NUMBER","ADDRESS NUMBER (HIGH)","STREET DIRECTION","STREET NAME","STREET TYPE","WARD","COMMUNITY AREA","APPROVAL DATE","COMPLETION DATE","PROPERTY TYPE","SQUARE FOOTAGE","PROJECT DESCRIPTION","INCENTIVE AMOUNT","TOTAL PROJECT COST","OTHER PUBLIC FUNDING","JOBS CREATED: ASPIRATIONAL","JOBS RETAINED: ASPIRATIONAL","LOCATION"
"Natural Roots Kids Hair, LLC","Tess McKenzie","1851","1855","E","87th","St","8","Calumet Heights","12/22/2020","05/23/2023","Commercial",,"Buildout for a cosmetology services center specializing in African hair.","$190,725.5","$343,215",,,,"POINT (-87.57863 41.73701)"
"Ted's Place (Ted & Jaquie's, Inc)","Jacqueline Walton","5813",,"W","Madison","St","29","Austin","08/27/2018","06/30/2019","Residential & Commercial","2,000","Renovation of community tavern.","$44,161.11","$88,322.21",,,,"POINT (-87.7702 41.8798)"
"345 Art Gallery","Corry Williams","345",,"N","Kedzie","Av","27","East Garfield Park","06/08/2017","09/30/2020","Commercial","1,000","New addition on the adjacent vacant land to increase capacity for arts programming and gallery space.","$201,472.1","$409,814.36",,,,"POINT (-87.70633 41.88779)"
"See Spot Run","Ruth Crisler","1440","1450","N","Pulaski","Rd","36","Humboldt Park","06/30/2020","09/30/2022","Commercial",,"Interior and exterior renovations to existing commercial space for dog training business.","$250,000","$1,298,097.08",,,,"POINT (-87.72684 41.90768)"
"Windy City Athletics (Burdeens Chicago)","Gerardo Alvarez","2139",,"W","Cermak","Rd","25","Lower West Side","07/12/2021","10/17/2023","Commercial",,"Buildout for an existing show store.","$244,000","$488,000",,,,"POINT (-87.67983 41.85211)"
"A.P. Deli (A.P. Inc)","Starnella Johnson","10756","10758","S","Michigan","Av","21","Roseland","06/08/2017","04/04/2023","Commercial","1,500","Acquisition and renovation of an existing floral business, and addition of garden center.","$225,988.2","$339,650.93",,"0","10","POINT (-87.62086 41.69824)"
"Bronzeville Winery","Cecilia Cuff","4414","4420","S","Cottage Grove","Av","4","Grand Boulevard","06/30/2020","02/01/2022","Residential & Commercial","3,200","Interior buildout for a start-up restaurant and winery.","$250,000","$537,902",,,,"POINT (-87.60669 41.81477)"
"Lee's Unleaded Blues","Richard Jenkins","7401",,"S","South Chicago","Av","5","Greater Grand Crossing","06/30/2020","05/01/2024",,,"Acquisition and rehabilitation to re-open a blues club.","$120,459.45","$240,918.89",,,,"POINT (-87.59772 41.76024)"
"Herban Produce","Alicia Nesbary Moore","2858",,"W","Van Buren","St","27","East Garfield Park","04/29/2019","03/30/2021","Commercial","19,000","Expansion of existing urban farm and buildout of adjacent commercial storefront for an associated events space.","$215,625","$577,230",,"7",,"POINT (-87.6984 41.87595)"
"Delar's Unisex","Josefa Lara","4132",,"W","26th","St","22","South Lawndale","12/22/2020","12/31/2022","Residential & Commercial",,"Interior renovation for a neighborhood salon.","$46,160","$82,060",,,,"POINT (-87.72833 41.84421)"
"Garcia's Svcs, Inc","Marlene Garcia","5134",,"W","Grand","Av","36","Belmont Cragin","03/01/2018","03/31/2021","Residential & Commercial","530","Expansion of existing tax and legal services business into a larger location with a storefront.","$80,225","$110,500",,"0","1","POINT (-87.75491 41.91713)"
"Del-Kar Pharmacy Inc (301143)","Edwin Muldrow","3726",,"W","16th","St","24","North Lawndale","03/01/2018","10/21/2024","Commercial",,"Buildout for an existing pharmacy space, and two tenant spaces over, an additional gut rehab project for a start-up juice bar. Both projects will be managed by the same entity.","$117,617","$197,350",,,,"POINT (-87.71879 41.85894)"
"Kenwood Dental Group","Dr. Eric and Dr. Ashley Barnes","1335",,"E","87th","St","8","Calumet Heights","08/27/2018","12/31/2019","Commercial","2,200","Renovation of an existing dental practice.","$149,999","$216,003",,"3","0","POINT (-87.59146 41.73683)"
"CBQ Facial Beauty Bar, LLC","Nichole Doss","4458",,"S","Cottage Grove","Av","4","Grand Boulevard","06/30/2020","06/30/2022","Residential & Commercial","1,678","Tenant build-out for a start-up salon and beauty center.","$27,675","$41,650",,,,"POINT (-87.60668 41.8143)"
"Urban Core","Julia Perkins","1840",,"E","71st","St","5","South Shore","04/29/2019","07/31/2023","Commercial",,"Buildout to accommodate 4, new, health-focused businesses, including yoga studio.","$250,000","$1,045,140",,,,"POINT (-87.57962 41.76618)"
"Colemans BBQ #2","Debra Coleman","5752","5756","W","Chicago","Av","29","Austin","08/27/2018","12/31/2020","Commercial","4,478","Interior and exterior renovation for new restaurant.","$47,932.82","$63,909",,,,"POINT (-87.76994 41.89479)"
"Ivory Dental Specialist 1st","Bonciel Griffin-Burress","8344",,"S","Halsted","St","17","Auburn Gresham","06/08/2017","12/31/2020","Commercial","6,500","Acquisition and renovation of property for second location of dental practice.","$250,000","$1,062,998.98",,,,"POINT (-87.6442 41.74196)"
"Soule' Chicago Corp","Bridgette Flagg","3615","3615","W","Roosevelt","Rd","24","North Lawndale","12/22/2020","10/30/2023","Commercial",,"Buildout for a family-friendly restaurant in Lawndale","$250,000","$507,402.89",,,,"POINT (-87.71615 41.86628)"
