community_area,white_hh,black_hh,latino_hh,asian_hh,oth_hh,non_white_hh,white_owners,black_owners,latino_owners,asian_owners,oth_owners,non_white_owners,loans_white,loans_black,loans_latino,loans_asian,loans_oth,loans_non_white,loans_miss,amount_white,amount_black,amount_latino,amount_asian,amount_oth,amount_non_white,amount_miss,loans_lmi,loans_mi,loans_ui,amount_lmi,amount_mi,amount_ui,loans_low_inc,amount_low_inc,total_owners,total_hh,total_loans,total_loan_amount,white_hh_share,black_hh_share,latino_hh_share,asian_hh_share,oth_hh_share,non_white_hh_share,white_own_shr,black_own_shr,latino_own_shr,asian_own_shr,oth_own_shr,non_white_own_shr,loans_white_shr,loans_black_shr,loans_latino_shr,loans_asian_shr,loans_oth_shr,loans_non_white_shr,loans_miss_shr,community_def_race,ami_shr,income_level,low_inc,loans_lmi_shr,loans_mi_shr,loans_ui_shr,sb_count,sb_amount,loan_to_sb_count,loan_to_sb_amount,active_sb,cash_out,home_improvement,rate_refi,loans_Bank,loans_Credit_Union,loans_IMB,loans_Other,volume_Bank,volume_Credit_Union,volume_IMB,volume_Other,loans_Large,loans_Medium,loans_Small,volume_Large,volume_Medium,volume_Small,loans_cra,cra_non_white_bor,retail_area_loans
Albany Park,7092,809,6176,2508,379,9872,3917,114,1638,1030,96,2878,616,36,185,84,20,325,142,202070000,9790000,48345000,26440000,1000000,85575000,46560000,280,304,487,51630000,85350000,198675000,218,42260000,6795,16964,941,287645000,0.418061778,0.047689224,0.364065079,0.14784249,0.022341429,0.581938222,0.576453274,0.016777042,0.241059603,0.151582046,0.014128035,0.423546726,0.654622742,0.038257173,0.196599362,0.089266738,0.021253985,0.345377258,0.150903294,Mixed Com,0.753158537,LMI,low_inc,0.261437908,0.283846872,0.454715219,1579,50058,832,18689,1050,288,11,1067,333,21,578,9,106175000,6685000,176060000,3055000,161,48,124,55585000,16990000,33600000,128,128,13
Archer Heights,1103,32,2545,228,9,2814,747,6,1480,215,5,1706,11,3,172,19,1,195,18,2425000,1005000,42670000,3915000,0,47590000,4080000,135,76,13,30085000,20440000,3805000,96,23500000,2453,3917,206,50015000,0.281593056,0.008169517,0.649731938,0.058207812,0.002297677,0.718406944,0.304525071,0.002445985,0.603342845,0.087647778,0.00203832,0.695474929,0.053398058,0.014563107,0.834951456,0.09223301,0.004854369,0.946601942,0.087378641,Minority Com,0.615341463,LMI,low_inc,0.602678571,0.339285714,0.058035714,488,33167,212,5745,427,77,11,204,91,8,107,0,21035000,1700000,27515000,0,41,18,32,8665000,4480000,7890000,50,50,2
Armour Square,926,497,241,3703,36,4477,413,19,86,1338,7,1450,19,1,10,103,2,116,17,5475000,205000,2420000,25955000,0,28580000,5565000,49,47,55,9145000,12205000,18385000,37,7515000,1863,5403,135,34055000,0.171386267,0.091985934,0.044604849,0.685359985,0.006662965,0.828613733,0.221685454,0.010198604,0.046162104,0.718196457,0.003757381,0.778314546,0.140740741,0.007407407,0.074074074,0.762962963,0.014814815,0.859259259,0.125925926,Minority Com,0.386134146,LMI,not_low,0.324503311,0.311258278,0.364238411,759,40545,402,20882,615,38,2,107,92,0,41,2,23070000,0,10725000,690000,45,4,43,12115000,990000,9965000,51,51,3
Ashburn,1878,6752,4041,134,247,11174,1740,5220,3600,134,238,9192,35,256,782,4,2,1044,84,6275000,57420000,155210000,880000,195000,213705000,16220000,741,357,64,144085000,77375000,14680000,510,102470000,10932,13052,1079,219980000,0.143885994,0.517315354,0.309607723,0.010266626,0.018924303,0.856114006,0.159165752,0.477497256,0.329308452,0.012257592,0.021770948,0.840834248,0.032437442,0.237256719,0.724745134,0.003707136,0.001853568,0.967562558,0.077849861,Minority Com,0.856378049,MI,not_low,0.637693632,0.307228916,0.055077453,1034,28794,499,9015,695,434,27,1003,303,58,717,1,61715000,10400000,147805000,235000,113,63,127,22855000,12985000,25875000,134,134,10
Auburn Gresham,157,16398,236,116,188,16938,50,7330,98,59,79,7566,13,706,202,2,9,919,119,2425000,144130000,34140000,540000,345000,179155000,24295000,648,320,82,115180000,72600000,19510000,477,89425000,7616,17095,932,181580000,0.009183972,0.959227844,0.013805206,0.00678561,0.010997368,0.990816028,0.006565126,0.962447479,0.012867647,0.007746849,0.010372899,0.993434874,0.013948498,0.75751073,0.216738197,0.002145923,0.009656652,0.986051502,0.127682403,Minority Com,0.419463415,LMI,not_low,0.617142857,0.304761905,0.078095238,941,19556,355,7198,1169,159,13,371,211,29,690,2,40815000,4325000,137550000,410000,72,45,94,13510000,8805000,18500000,109,109,10
Austin,2016,26464,3650,160,317,30591,1603,9681,1934,107,122,11844,132,500,762,19,8,1289,175,35220000,124600000,185600000,5615000,645000,316460000,44455000,873,513,205,186525000,144755000,65305000,690,157340000,13447,32607,1421,351680000,0.061827215,0.81160487,0.111939154,0.004906922,0.009721839,0.938172785,0.119208745,0.719937533,0.143823901,0.007957165,0.009072656,0.880791255,0.092892329,0.351864884,0.536242083,0.013370866,0.005629838,0.907107671,0.123152709,Minority Com,0.408719512,LMI,not_low,0.548711502,0.322438718,0.12884978,2746,110358,972,26003,2116,496,30,1155,343,51,1020,7,79795000,9805000,261520000,1965000,145,48,150,34055000,11270000,34470000,158,158,20
Avalon Park,74,3827,0,19,83,3929,30,2479,0,19,40,2538,11,238,13,1,6,258,50,2175000,47580000,2145000,185000,0,49910000,9520000,160,111,47,27530000,24295000,10855000,112,20530000,2568,4003,269,52085000,0.018486135,0.956032975,0,0.00474644,0.020734449,0.981513865,0.011682243,0.965342679,0,0.007398754,0.015576324,0.988317757,0.040892193,0.884758364,0.048327138,0.003717472,0.022304833,0.959107807,0.185873606,Minority Com,0.543756098,LMI,low_inc,0.503144654,0.349056604,0.147798742,382,11297,151,5901,245,58,1,159,76,7,186,0,15320000,1585000,36330000,0,29,9,38,6235000,1745000,7340000,40,40,3
Avondale,6274,395,6079,544,318,7336,3071,50,2114,299,106,2569,644,30,126,83,19,258,156,256390000,12110000,45720000,34425000,870000,93125000,64320000,126,246,675,28940000,82650000,304925000,110,25000000,5640,13610,902,349515000,0.46098457,0.029022777,0.44665687,0.03997061,0.023365173,0.53901543,0.544503546,0.008865248,0.374822695,0.053014184,0.018794326,0.455496454,0.713968958,0.033259424,0.139689579,0.092017738,0.021064302,0.286031042,0.172949002,Mixed Com,0.806463415,MI,not_low,0.12034384,0.23495702,0.64469914,1663,69954,874,27384,951,296,17,1223,345,23,521,13,139665000,10645000,201075000,5125000,188,59,98,76120000,27595000,35950000,221,221,19
Belmont Cragin,4718,762,16277,368,288,17695,2414,226,8452,298,155,9131,159,30,763,26,7,826,94,49305000,8830000,212245000,7640000,385000,229100000,27660000,466,420,192,116250000,127820000,63730000,385,100785000,11545,22413,985,278405000,0.210502833,0.033998126,0.726230313,0.016419043,0.012849685,0.789497167,0.209094846,0.019575574,0.732091815,0.02581204,0.013425725,0.790905154,0.16142132,0.030456853,0.774619289,0.026395939,0.007106599,0.83857868,0.095431472,Minority Com,0.630353659,LMI,low_inc,0.432282004,0.38961039,0.178107607,1899,65741,1067,22275,1723,463,34,1170,283,23,678,1,79235000,4615000,196360000,345000,120,48,115,32220000,13150000,33865000,157,157,10
Beverly,4405,2608,338,64,113,3123,4033,1783,291,32,84,2190,404,227,43,9,2,281,90,128350000,73675000,13675000,2265000,0,89615000,29660000,102,236,434,21200000,66810000,158920000,87,18685000,6223,7528,685,217965000,0.585148778,0.346439957,0.044899044,0.008501594,0.015010627,0.414851222,0.648079704,0.286517757,0.046762012,0.005142214,0.013498313,0.351920296,0.589781022,0.331386861,0.062773723,0.013138686,0.002919708,0.410218978,0.131386861,Mixed Com,1.202878049,UI,not_low,0.132124352,0.305699482,0.562176166,944,33716,500,15782,589,424,25,1157,251,17,405,12,81715000,5425000,127335000,4050000,121,32,98,39205000,12680000,29830000,23,23,3
