tract,white_hh,black_hh,latino_hh,asian_hh,oth_hh,non_white_hh,white_owners,black_owners,latino_owners,asian_owners,oth_owners,non_white_owners,loans_white,loans_black,loans_latino,loans_asian,loans_oth,loans_non_white,loans_miss,amount_white,amount_black,amount_latino,amount_asian,amount_oth,amount_non_white,amount_miss,loans_lmi,loans_mi,loans_ui,amount_lmi,amount_mi,amount_ui,loans_low_inc,amount_low_inc,total_owners,total_hh,total_loans,total_loan_amount,white_hh_share,black_hh_share,latino_hh_share,asian_hh_share,oth_hh_share,non_white_hh_share,white_own_shr,black_own_shr,latino_own_shr,asian_own_shr,oth_own_shr,non_white_own_shr,loans_white_shr,loans_black_shr,loans_latino_shr,loans_asian_shr,loans_oth_shr,loans_non_white_shr,loans_miss_shr,community_def_race,med_income_msa_shr,income_level,low_inc,loans_lmi_shr,loans_mi_shr,loans_ui_shr,community_area,sb_count,sb_amount,loan_to_sb_count,loan_to_sb_amount,ams_res,ams_bus,ams_oth,loans_Bank,loans_Credit_Union,loans_IMB,loans_Other,volume_Bank,volume_Credit_Union,volume_IMB,volume_Other,top_3_shr,loans_Large,loans_Medium,loans_Small,volume_Large,volume_Medium,volume_Small,loans_cra,cra_non_white_bor,retail_area_loans
10100,953,980,304,46,67,1397,315,58,87,31,17,193,56,18,18,5,3,44,15,13820000,2640000,3500000,1565000,0,7705000,4565000,41,36,37,6765000,8170000,11545000,30,5520000,508,2350,100,21525000,0.405531915,0.417021277,0.129361702,0.019574468,0.028510638,0.594468085,0.62007874,0.114173228,0.171259843,0.061023622,0.033464567,0.37992126,0.56,0.18,0.18,0.05,0.03,0.44,0.15,Mixed Com,75.41,LMI,low_inc,0.359649123,0.315789474,0.324561404,Rogers Park,100,983,52,530,2299,99,710,24,3,71,2,5950000,685000,15175000,490000,0.32,15,3,6,3595000,565000,1790000,21,18,1
10201,1051,841,522,85,256,1704,411,98,150,13,71,332,77,20,35,7,3,65,20,15485000,4460000,6835000,1545000,0,12840000,3490000,78,48,34,11300000,9850000,10640000,53,8405000,743,2755,142,28325000,0.381488203,0.305263158,0.189473684,0.030852995,0.09292196,0.618511797,0.553162853,0.131897712,0.201884253,0.017496635,0.095558546,0.446837147,0.542253521,0.14084507,0.246478873,0.049295775,0.021126761,0.457746479,0.14084507,Mixed Com,54.7,LMI,low_inc,0.4875,0.3,0.2125,Rogers Park,124,1303,60,370,2740,117,1040,49,3,87,3,8785000,635000,19015000,365000,0.26056338,21,8,20,3895000,870000,4020000,26,25,3
10202,360,458,208,39,48,753,164,51,36,8,2,97,25,4,5,5,4,18,7,6485000,760000,655000,975000,0,2390000,1285000,29,6,15,3835000,1160000,5765000,16,2300000,261,1113,43,8875000,0.323450135,0.411500449,0.1868823,0.035040431,0.043126685,0.676549865,0.62835249,0.195402299,0.137931034,0.030651341,0.007662835,0.37164751,0.581395349,0.093023256,0.11627907,0.11627907,0.093023256,0.418604651,0.162790698,Mixed Com,50.23,LMI,low_inc,0.58,0.12,0.3,Rogers Park,104,3406,49,1006,1091,105,350,16,1,25,1,4750000,205000,4415000,105000,0.302325581,4,7,5,930000,2605000,1215000,9,8,2
10300,1704,822,398,16,156,1392,764,148,83,0,41,272,97,20,22,10,3,55,22,21825000,3490000,4290000,1700000,0,9480000,3840000,78,48,46,12050000,8670000,14620000,61,9985000,1036,3096,152,31305000,0.550387597,0.265503876,0.128552972,0.005167959,0.050387597,0.449612403,0.737451737,0.142857143,0.08011583,0,0.03957529,0.262548263,0.638157895,0.131578947,0.144736842,0.065789474,0.019736842,0.361842105,0.144736842,Mixed Com,58.05,LMI,low_inc,0.453488372,0.279069767,0.26744186,Rogers Park,158,4009,81,943,2999,99,708,56,2,93,1,11310000,560000,19815000,205000,0.375,29,7,20,6215000,1375000,3720000,36,35,5
10400,1319,360,175,69,55,659,320,55,31,16,13,115,49,5,11,5,1,22,19,13415000,875000,2235000,1525000,0,4635000,6555000,25,19,46,4405000,4665000,15830000,21,3855000,435,1978,71,18050000,0.666835187,0.182002022,0.088473205,0.034883721,0.027805865,0.333164813,0.735632184,0.126436782,0.071264368,0.036781609,0.029885057,0.264367816,0.690140845,0.070422535,0.154929577,0.070422535,0.014084507,0.309859155,0.267605634,Mixed Com,89.75,MI,not_low,0.277777778,0.211111111,0.511111111,Rogers Park,112,1497,52,599,2276,79,454,14,7,50,0,2580000,1795000,13970000,0,0.267605634,8,2,4,1280000,420000,880000,4,4,1
10501,1304,656,180,55,132,1023,274,14,0,13,10,37,59,11,11,6,5,33,13,13115000,1825000,1715000,1070000,0,4610000,2145000,45,30,30,6155000,5950000,8680000,36,5080000,311,2327,92,17725000,0.560378169,0.281908036,0.077352815,0.023635582,0.056725398,0.439621831,0.881028939,0.045016077,0,0.041800643,0.032154341,0.118971061,0.641304348,0.119565217,0.119565217,0.065217391,0.054347826,0.358695652,0.141304348,Mixed Com,70.95,LMI,low_inc,0.428571429,0.285714286,0.285714286,Rogers Park,93,2410,41,1600,2554,69,543,29,1,62,0,6085000,205000,12350000,0,0.391304348,14,4,11,3220000,940000,1925000,23,17,2
10502,958,344,101,81,13,539,286,15,10,24,0,49,52,6,7,5,2,20,12,11070000,1030000,1075000,1265000,0,3370000,2830000,33,22,28,5245000,4970000,7330000,25,4215000,335,1497,72,14440000,0.63994656,0.229792919,0.06746827,0.054108216,0.008684035,0.36005344,0.853731343,0.044776119,0.029850746,0.071641791,0,0.146268657,0.722222222,0.083333333,0.097222222,0.069444444,0.027777778,0.277777778,0.166666667,Mixed Com,72.31,LMI,low_inc,0.397590361,0.265060241,0.337349398,Rogers Park,114,2872,53,717,1780,42,455,27,3,40,2,5485000,585000,8330000,530000,0.375,13,4,10,2495000,930000,2060000,16,15,2
10503,696,134,38,131,61,364,162,0,18,9,0,27,8,0,0,0,0,0,4,2190000,0,0,0,0,0,1670000,3,2,7,685000,540000,2635000,3,685000,189,1060,8,2190000,0.656603774,0.126415094,0.035849057,0.123584906,0.05754717,0.343396226,0.857142857,0,0.095238095,0.047619048,0,0.142857143,1,0,0,0,0,0,0.5,Mixed Com,0,NA,not_low,0.25,0.166666667,0.583333333,Rogers Park,42,1815,18,168,1200,80,187,5,0,2,1,1495000,0,460000,235000,0.375,2,0,3,400000,0,1095000,3,2,NA
10600,1672,576,494,104,51,1225,487,74,40,46,0,160,132,10,27,11,2,50,22,30090000,1820000,5995000,2145000,265000,10225000,4110000,75,66,61,12265000,13370000,18695000,56,9730000,647,2897,182,40315000,0.577148775,0.198826372,0.170521229,0.035899206,0.017604418,0.422851225,0.752704791,0.114374034,0.061823802,0.071097372,0,0.247295209,0.725274725,0.054945055,0.148351648,0.06043956,0.010989011,0.274725275,0.120879121,Mixed Com,85.78,MI,not_low,0.371287129,0.326732673,0.301980198,Rogers Park,157,4267,79,1066,2845,120,839,51,11,115,5,12175000,2105000,25255000,995000,0.307692308,22,7,22,4750000,1985000,5440000,7,6,2
10701,829,307,230,138,9,684,470,117,106,31,5,259,78,11,11,6,1,29,18,18460000,2195000,2435000,1510000,0,6140000,3580000,52,31,40,8030000,6275000,14090000,38,6200000,729,1513,107,24600000,0.547918044,0.20290813,0.152015863,0.091209518,0.005948447,0.452081956,0.644718793,0.160493827,0.145404664,0.042524005,0.006858711,0.355281207,0.728971963,0.102803738,0.102803738,0.056074766,0.009345794,0.271028037,0.168224299,Mixed Com,76.74,LMI,low_inc,0.422764228,0.25203252,0.325203252,Rogers Park,98,2677,47,1416,1338,22,409,38,3,66,0,9390000,355000,15400000,0,0.299065421,15,7,16,3745000,1285000,4360000,20,18,6
